"language": "en"	###	"language": "sv"	###	"language": "no"	###	"language": "fi"	###	"language": "da"	###	"language": "es"	###	"language": "pt"	###@@@###
"LINE02": "LINE02"	###	"LINE02": "LINE02"	###	"LINE02": "LINE02"	###	"LINE02": "LINE02"	###	"LINE02": "LINE02"	###	"LINE02": "LINE02"	###	"LINE02": "LINE02"	###@@@###
"Header_Login_Login": "Log in"	###	"Header_Login_Login": "Logga in"	###	"Header_Login_Login": "Logg Inn"	###	"Header_Login_Login": "Kirjaudu sisään"	###	"Header_Login_Login": "Log på"	###	"Header_Login_Login": "Acceso"	###	"Header_Login_Login": "Conecte-se"	###@@@###
"Nav_DropDownItem_English": "English"	###	"Nav_DropDownItem_English": "Engelsk"	###	"Nav_DropDownItem_English": "Engelsk"	###	"Nav_DropDownItem_English": "Englanti"	###	"Nav_DropDownItem_English": "Engelsk"	###	"Nav_DropDownItem_English": "Inglés"	###	"Nav_DropDownItem_English": "Inglês"	###@@@###
"Nav_DropDownItem_Swedish": "Swedish"	###	"Nav_DropDownItem_Swedish": "Svenska"	###	"Nav_DropDownItem_Swedish": "Svensk"	###	"Nav_DropDownItem_Swedish": "Ruotsin kieli"	###	"Nav_DropDownItem_Swedish": "Svensk"	###	"Nav_DropDownItem_Swedish": "Sueco"	###	"Nav_DropDownItem_Swedish": "Sueco"	###@@@###
"Nav_DropDownItem_Help": "Help"	###	"Nav_DropDownItem_Help": "Hjälp"	###	"Nav_DropDownItem_Help": "Hjelp"	###	"Nav_DropDownItem_Help": "Auta"	###	"Nav_DropDownItem_Help": "Hjælp"	###	"Nav_DropDownItem_Help": "Ayuda"	###	"Nav_DropDownItem_Help": "Ajuda"	###@@@###
"Nav_DropDownItem_Chat": "Chat"	###	"Nav_DropDownItem_Chat": "Chatt"	###	"Nav_DropDownItem_Chat": "Chat"	###	"Nav_DropDownItem_Chat": "Keskustella"	###	"Nav_DropDownItem_Chat": "Snak"	###	"Nav_DropDownItem_Chat": "Charlar"	###	"Nav_DropDownItem_Chat": "Bater papo"	###@@@###
"Nav_DropDownItem_Logout": "Log Out"	###	"Nav_DropDownItem_Logout": "Logga ut"	###	"Nav_DropDownItem_Logout": "Logg ut"	###	"Nav_DropDownItem_Logout": "Kirjautua ulos"	###	"Nav_DropDownItem_Logout": "Log ud"	###	"Nav_DropDownItem_Logout": "Cerrar sesión"	###	"Nav_DropDownItem_Logout": "Sair"	###@@@###
"Nav_DropDownItem_Profile": "Profile"	###	"Nav_DropDownItem_Profile": "Profil"	###	"Nav_DropDownItem_Profile": "Profil"	###	"Nav_DropDownItem_Profile": "Profiili"	###	"Nav_DropDownItem_Profile": "Profil"	###	"Nav_DropDownItem_Profile": "Perfil"	###	"Nav_DropDownItem_Profile": "Perfil"	###@@@###
"Nav_DropDownItem_Orders": "Orders"	###	"Nav_DropDownItem_Orders": "Order"	###	"Nav_DropDownItem_Orders": "Bestillinger"	###	"Nav_DropDownItem_Orders": "Määräys"	###	"Nav_DropDownItem_Orders": "Ordre:% s"	###	"Nav_DropDownItem_Orders": "Pedidos"	###	"Nav_DropDownItem_Orders": "Ordens"	###@@@###
"Header_Login_EnterHint": "Write username and password"	###	"Header_Login_EnterHint": "Skriv användarnamn och lösenord"	###	"Header_Login_EnterHint": "Skriv brukernavn og passord"	###	"Header_Login_EnterHint": "Kirjoita käyttäjänimi ja salasana"	###	"Header_Login_EnterHint": "Skriv brugernavn og adgangskode"	###	"Header_Login_EnterHint": "Escribir nombre de usuario y contraseña"	###	"Header_Login_EnterHint": "Escreva nome de usuário e senha"	###@@@###
"Link_Login_ForgotPassword": "Forgot password?"	###	"Link_Login_ForgotPassword": "Glömt ditt lösenord?"	###	"Link_Login_ForgotPassword": "Glemt passord?"	###	"Link_Login_ForgotPassword": "Unohtuiko salasana?"	###	"Link_Login_ForgotPassword": "Glemt kodeord?"	###	"Link_Login_ForgotPassword": "¿Has olvidado tu contraseña?"	###	"Link_Login_ForgotPassword": "Esqueceu sua senha?"	###@@@###
"Link_Login_CreateAccount": "Create an account"	###	"Link_Login_CreateAccount": "Skapa ett konto"	###	"Link_Login_CreateAccount": "Opprett en konto"	###	"Link_Login_CreateAccount": "Luo tili"	###	"Link_Login_CreateAccount": "Opret en konto"	###	"Link_Login_CreateAccount": "Crea una cuenta"	###	"Link_Login_CreateAccount": "Crie a sua conta aqui"	###@@@###
"Label_LoginForm_Email": "Email"	###	"Label_LoginForm_Email": "E-post"	###	"Label_LoginForm_Email": "E -post"	###	"Label_LoginForm_Email": "Sähköposti"	###	"Label_LoginForm_Email": "E -mail"	###	"Label_LoginForm_Email": "Correo electrónico"	###	"Label_LoginForm_Email": "E-mail"	###@@@###
"Label_LoginForm_EmailPlaceholder": "Email"	###	"Label_LoginForm_EmailPlaceholder": "E-post"	###	"Label_LoginForm_EmailPlaceholder": "E -post"	###	"Label_LoginForm_EmailPlaceholder": "Sähköposti"	###	"Label_LoginForm_EmailPlaceholder": "E -mail"	###	"Label_LoginForm_EmailPlaceholder": "Correo electrónico"	###	"Label_LoginForm_EmailPlaceholder": "E-mail"	###@@@###
"Label_LoginForm_EmailValidationError": "Enter a valid email address."	###	"Label_LoginForm_EmailValidationError": "Ange en giltig e-postadress."	###	"Label_LoginForm_EmailValidationError": "Oppgi en gyldig e-post-adresse."	###	"Label_LoginForm_EmailValidationError": "Syötä voimassa oleva sähköpostiosoite."	###	"Label_LoginForm_EmailValidationError": "Indtast en gyldig email addresse."	###	"Label_LoginForm_EmailValidationError": "Introduzca una dirección de correo electrónico válida."	###	"Label_LoginForm_EmailValidationError": "Digite um endereço de e-mail válido."	###@@@###
"Label_LoginForm_Password": "Password"	###	"Label_LoginForm_Password": "Lösenord"	###	"Label_LoginForm_Password": "Passord"	###	"Label_LoginForm_Password": "Salasana"	###	"Label_LoginForm_Password": "Adgangskode"	###	"Label_LoginForm_Password": "Contraseña"	###	"Label_LoginForm_Password": "Senha"	###@@@###
"Label_LoginForm_PasswordPlaceholder": "Enter your password"	###	"Label_LoginForm_PasswordPlaceholder": "Ange ditt lösenord"	###	"Label_LoginForm_PasswordPlaceholder": "Skriv inn passordet ditt"	###	"Label_LoginForm_PasswordPlaceholder": "Syötä salasanasi"	###	"Label_LoginForm_PasswordPlaceholder": "Skriv dit kodeord"	###	"Label_LoginForm_PasswordPlaceholder": "Ingresa tu contraseña"	###	"Label_LoginForm_PasswordPlaceholder": "Coloque sua senha"	###@@@###
"Label_LoginForm_PasswordValidationError": "That password is too short"	###	"Label_LoginForm_PasswordValidationError": "Det lösenordet är för kort"	###	"Label_LoginForm_PasswordValidationError": "Det passordet er for kort"	###	"Label_LoginForm_PasswordValidationError": "Tuo salasana on liian lyhyt"	###	"Label_LoginForm_PasswordValidationError": "Denne adgangskode er for kort"	###	"Label_LoginForm_PasswordValidationError": "Esa contraseña es demasiado corta"	###	"Label_LoginForm_PasswordValidationError": "Essa senha é muito curta"	###@@@###
"Button_LoginForm_Login": "Login"	###	"Button_LoginForm_Login": "Logga in"	###	"Button_LoginForm_Login": "Logg Inn"	###	"Button_LoginForm_Login": "Kirjaudu sisään"	###	"Button_LoginForm_Login": "Log på"	###	"Button_LoginForm_Login": "Acceso"	###	"Button_LoginForm_Login": "Conecte-se"	###@@@###
"Header_ForgotPassword_Password": "Forgot password"	###	"Header_ForgotPassword_Password": "Glömt ditt lösenord"	###	"Header_ForgotPassword_Password": "Glemt passord"	###	"Header_ForgotPassword_Password": "Unohtuiko salasana"	###	"Header_ForgotPassword_Password": "Glemt kodeord"	###	"Header_ForgotPassword_Password": "Has olvidado tu contraseña"	###	"Header_ForgotPassword_Password": "Esqueceu sua senha"	###@@@###
